03001, [ 09104 ] ,인조 손, = ,03005,,인조 손가락, ( 5 개 ), + ,09011,,인조 손, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03002, [ 03122 ] ,볼펜심 V, = ,00096, ,볼펜볼V, ( 1 개 ), + ,00097, ,볼펜잉크V, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03003, [ 06135 ] ,바퀴벌레 다리 구이, = ,00029, ,바퀴벌레 다리, ( 5 개 ), + ,00044, ,마늘, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03004, [ 06122 ] ,오우거 로드의 몽뎅이, = ,00055, ,왕몽뎅이, ( 1 개 ), + ,03058, ,오우거의 팬티, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03005, [ 03123 ] ,엑토플라즘 젤리, = ,00081, ,무색의 엑토플라즘, ( 1 개 ), + ,00116, ,젤리, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03006, [ 00122 ] ,광화제, = ,00099, ,수면제, ( 1 개 ), + ,00109, ,각성제, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03007, [ 03124 ] ,농약 스프레이, = ,00118, ,농약, ( 1 개 ), + ,03120, ,독가스 스프레이, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03008, [ 06138 ] ,인어 비늘 철판, = ,00082, ,인어의 비늘, ( 4 개 ), + ,03074, ,철판, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03009, [ 09108 ] ,암넬 #13, = ,06008, ,암내나는 츄리닝, ( 1 개 ), + ,06021, ,쇼넬 #8, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03010, [ 18002 ] ,암흑룬의 서, = ,15001, ,룬의 서, ( 1 개 ), + ,15002, ,악마의 지식, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03011, [ 06139 ] ,후까시 좀비 옷, = ,00065, ,좀비복, ( 1 개 ), + ,06115, ,후까시 옷, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03012, [ 00123 ] ,돌맹이 진자, = ,00067, ,돌맹이, ( ? 개 ), + ,00068, ,나무 진자, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03013, [ 03126 ] ,흑염소 수염 붓, = ,00089, ,대나무, ( 1 개 ), + ,00090, ,흑염소 수염, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03014, [ 09111 ] ,재수옴건, = ,00078, ,빨판총, ( 1 개 ), + ,06084, ,재수옴, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03015, [ 03127 ] ,좀비가죽 쇼울, = ,00065, ,좀비복, ( 3 개 ), + ,03009, ,미소녀 고블린의 쇼울, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03016, [ 03128 ] ,저주받은 스프링 슈즈, = ,00054, ,저주받은 스프링, ( ? 개 ), + ,03088, ,스프링 슈즈, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03017, [ 06141 ] ,미스 좀비 가죽 팬티, = ,03058, ,오우거의 팬티, ( 1 개 ), + ,03089, ,미스 좀비가죽, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03018, [ 06142 ] ,불합격자 명단, = ,03106, ,불합격 통지서, ( ? 개 ), + ,06113, ,사망자 명단, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03019, [ 00124 ] ,좀비가죽 지갑, = ,00030, ,지갑, ( 1 개 ), + ,00064, ,좀비 가죽, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03020, [ 09112 ] ,8옥타브 롹 테이프, = ,00049, ,확음악 테이프, ( ? 개 ), + ,09090, ,8 옥타브 발생기, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03021, [ 00127 ] ,돌바가지, = ,00056, ,왕짱돌, ( ? 개 ), + ,00066, ,바가지, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
